"group","value"
"Control",2.44377237755951
"Control",4.7603560165018
"Control",0.46457707832657
"Control",0.0419973631279484
"Control",11.32220154202
"Control",0.548792202493517
"Control",4.88170331211455
"Control",6.34741961299067
"Control",8.32738406813429
"Control",0.836008403397768
"Control",8.21090064858406
"Control",7.69592978673631
"Control",1.38890280361865
"Control",4.15091749272931
"Control",2.11142940012375
"Control",1.95277981514064
"Control",4.75381479976265
"Control",3.81701331498112
"Control",9.5136966689887
"Control",8.45387748603667
"Control",2
"Tratamiento",5.55547154719494
"Tratamiento",4.65495549793727
"Tratamiento",5.30807213479082
"Tratamiento",5.24475032960901
"Tratamiento",6.6652751927525
"Tratamiento",15
